,id,album,artist,explicit,popularity
93,6PJ8FF6UR8FZXfEvpHkIVN,÷ (Deluxe),Ed Sheeran,False,70
94,0LtVx5vsq9nfpGsWgjUin6,City Of Stars (From La La Land Soundtrack),"Ryan Gosling, Emma Stone",False,0
95,1MUxJxub6ovS0rzTHRgyoF,Afro Trap Part. 8 (Never),MHD,False,0
96,4TZy1wLyHec06pwgFYDh1a,Illuminate,Shawn Mendes,False,0
97,6x8j5V85ZJHtvOSjSamcVc,Afro Trap Part. 7 (La puissance),MHD,False,0
98,4Hf7WnR761jpxPr5D46Bcd,Illuminate,Shawn Mendes,False,0
99,0FuTx2s3YH1ppmtiM6l0zI,September Song,JP Cooper,False,0
100,4pLwZjInHj3SimIyN9SnOz,Dangerous Woman,"Ariana Grande, Nicki Minaj",True,0
101,5rRGbD1s7gQWnWwn0O3no2,Ziet Em Duun (Regi & Lester Williams Remix),"Van Echelpoel, Regi, Lester Williams",False,0
102,2FBUoWkIuQXwayw2RNo5l6,Views,Drake,False,0
103,27GmP9AWRs744SzKcpJsTZ,What A Time To Be Alive,"Drake, Future",True,73
104,27SdWb2rFzO6GWiYDBTD9j,This Is Acting,Sia,False,78
105,3rOSwuTsUlJp0Pu0MkN8r8,FUTURE,Future,True,49
106,0tICYNayWWhH9GPeFrfjfD,Layers,"Kungs, Cookin' On 3 Burners",False,0
107,0ban5QRXUveaKtQPGuaoQ9,Okou Gnakouri,Kaaris,True,0
108,52HSRlOSKjwxHEpn1YkBr0,Echo,Bazart,False,0
109,2rizacJSyD9S1IQUxUxnsK,All We Know,"The Chainsmokers, Phoebe Ryan",False,71
110,1CUVN2kn7mW5FjkqXTR2W1,Perfect Strangers,"Jonas Blue, JP Cooper",False,1
111,2YsP3FsnEeADADNxjYVMrG,I Need You,"Armin van Buuren, Garibay, Olaf Blackwood",False,26
112,6z6pKIQXM3Myh8evBkD5EJ,Misère,Wally,False,28
113,17Fd6Yb7mSbinKG8LoWfFl,"At Night, Alone.","Mike Posner, Seeb",True,1
114,00X2yv2vrtritPt2CZnUTZ,Dans la légende,PNL,False,65
115,4sPmO7WMQUAf45kwMOtONw,25,Adele,False,2
116,5OOkp4U9P9oL23maHFHL1h,New English,Desiigner,True,0
117,3cFsmM51N5zMAuu1nNY4Tw,No Lie,"Sean Paul, Dua Lipa",False,0
118,5hIR7SX1fSrr5evIAPDY5o,Less Is More,Lost Frequencies,False,51
119,4tCtwWceOPWzenK2HAIJSb,7/27 (Deluxe),"Fifth Harmony, Ty Dolla $ign",False,78
120,3hB5DgAiMAQ4DzYbsMq1IT,Purpose (Deluxe),Justin Bieber,False,2
121,5fc6rQgAKiLutfUYWQ6QnJ,Fifty Shades Darker (Original Motion Picture Soundtrack),Sia,False,0
122,4ckuS4Nj4FZ7i3Def3Br8W,Sneakin’,"Drake, 21 Savage",True,65
123,7gHs73wELdeycvS48JfIos,Faded,Alan Walker,False,74
124,3SqvR3HYLlCTYzbDXJ52OC,Lost on You,LP,False,70
125,728zbo72kOoYdGR3AhNsyF,I See You,The xx,False,0
126,7129iqBafaphfc3WPCGC0L,Lukas Graham (Blue Album),Lukas Graham,False,52
127,0n2bvWvMwr0gbjcuTm92eW,Love,Lana Del Rey,False,0
128,4F7A0DXBrmUAkp32uenhZt,Starboy,The Weeknd,True,73
129,2KiHXiqQA2dHiLfeSxtTeP,Premier étage,KeBlack,False,59
130,3CRDbSIZ4r5MsZ0YwxuEkn,Blurryface,Twenty One Pilots,False,85
131,33B2QbtAj8mbDpwvGTOnBt,I See You,The xx,False,0
132,3B7udSGy2PfgoCniMSb523,The Hobbit - The Desolation Of Smaug (Original Motion Picture Soundtrack / Special Edition),Ed Sheeran,False,75
133,2CPqh63wRVscbceKcPxwvv,The Ocean (feat. Shy Martin),"Mike Perry, SHY Martin",False,73
134,3TRFq09DUgYj1mug6RRqJW,TMRW,Luke Christopher,True,64
135,0zCfmceT1YvtZXGbR6Roht,La La Land (Original Motion Picture Soundtrack),La La Land Cast,False,0
136,2XMTqoHHSH0lvuXrvIEdco,Truce - EP,"FRENSHIP, Emily Warren",False,69
137,0YHUITU3w6ws1v8ehT264g,Glory Days (Deluxe),Little Mix,False,0
138,0azC730Exh71aQlOt9Zj3y,This Is What You Came For (feat. Rihanna),"Calvin Harris, Rihanna",False,80
139,0L7loeTIg6akW84aEQZpCT,Peace Is The Mission: Extended,"Major Lazer, Nyla, Fuse ODG",False,0
140,2Z8WuEywRWYTKe1NybPQEW,Blurryface,Twenty One Pilots,False,82
141,7vRriwrloYVaoAe3a9wJHe,us,"Garrett Nash, Olivia O'Brien",True,80
142,6OZh916QF8XNunWaP97WEZ,Fast Car,"Jonas Blue, Dakota",False,2
143,4WjH9Bzt3kx7z8kl0awxh4,Peace Is The Mission,"Major Lazer, MØ, DJ Snake",False,0
144,7KOlJ92bu51cltsD9KU5I7,Culture,Migos,True,68
145,433P7tDcIAi6NLnf4Sh6tI,Views,Drake,True,65
146,0IqKeD8ZSP72KbGYyzEcAs,Hozier,Hozier,False,0
147,1onfcprzpSGh2LqrBh17AA,I See You,The xx,False,0
148,044qU7kwVZaDwzWnRsmVVL,I See You,The xx,False,1
149,10fcTZSwDNmpDyhK9aexg7,Echo,Bazart,False,0
150,13HVjjWUZFaWilh2QUJKsP,Chaos And The Calm,James Bay,False,73
151,11Fo4dAH31K7UZHGqCkCmE,I Love You,"Axwell /\ Ingrosso, Kid Ink",True,0
152,37F0uwRSrdzkBiuj0D5UHI,Starboy,The Weeknd,True,74
153,1rIKgCH4H52lrvDcz50hS8,So Good,Zara Larsson,False,78
154,4GCIYE1x1TWJCChPkpy9by,Dans la légende,PNL,False,68
155,5Z01UMMf7V1o0MzF86s6WJ,Curtain Call: The Hits (Deluxe Edition),Eminem,True,76
156,3w7JcualE0nqlKjjxRQwoU,Beautiful (feat. Helen),"Todiefor, Helen",False,30
157,7xHWNBFm6ObGEQPaUxHuKO,This Is Acting (Deluxe Version),"Sia, Kendrick Lamar",False,72
158,5Mt7Dzj8Ak3Z3iFN0O8sxm,Een Dief Als Broer,Soufiane Eddyani,False,0
159,1riPE3NCV1OBmSXqpYiMJY,Rémi,"Ronnie Flex, Frenna",False,59
160,4dASQiO1Eoo3RJvt74FtXB,Sucker for Pain (with Logic & Ty Dolla $ign feat. X Ambassadors),"Lil Wayne, Wiz Khalifa, Imagine Dragons, X Ambassadors, Logic, Ty Dolla $ign",True,77
161,661bbtA19xopO3lH0J4Qvr,I See You,The xx,False,0
162,28co1mTCrGIGOeGzqLjSat,Force & Honneur,Lacrim,True,0
163,6O85MfGECKBqAK2MgSbCaj,Places,"Martin Solveig, Ina Wroldsen",False,0
164,12REd1n8PeiHHWOh066tpr,Skin,"Flume, kai",True,0
165,69bp2EbF7Q2rqc5N3ylezZ,Purpose (Deluxe),Justin Bieber,False,0
166,1D3ODoXHBLpdxolZRHWV1j,By Your Side,"Jonas Blue, RAYE",False,0
167,0UeYCHOETPfai02uskjJ3x,Bag Raiders (Deluxe),Bag Raiders,False,70
168,2q6tgiA9tpb6DMguABwCWE,Love In The Future (Special Edition),John Legend,False,0
169,14WWzenpaEgQZlqPq2nk4v,ANTI (Deluxe),"Rihanna, Drake",True,1
170,63qapUS8yLKz0tb0eOgOTF,Selfocracy,Loïc Nottet,False,58
171,6NOBQsQ2TsAK8ieuFEB0O6,Force & Honneur,Lacrim,True,0
172,2jyjhRf6DVbMPU5zxagN2h,All The Little Lights,Passenger,False,10
173,68EMU2RD1ECNeOeJ5qAXCV,Nine Track Mind,"Charlie Puth, Selena Gomez",False,58
174,4Q3N4Ct4zCuIHuZ65E3BD4,Painting Pictures,Kodak Black,True,74
175,104buTcnP2AsxqB7U1FIZ4,One More Light,"Linkin Park, Kiiara",True,70
176,0prNGof3XqfTvNDxHonvdK,Know-It-All (Deluxe),Alessia Cara,False,74
177,4qqArAiTPueDxIp7cf87h7,Final Song,MØ,False,68
178,04CttTezSnv71USiiG9mIo,Lighthouse (Andrelli Remix),"Hearts & Colors, Andrelli",False,53
179,7xE4vKvjqUTtHyJ9zi0k1q,La La Land (Original Motion Picture Soundtrack),"Emma Stone, Callie Hernandez, Sonoya Mizuno, Jessica Rothe",False,0
180,5UCsGZSezdlGA1bY3QMgXG,I See You,The xx,False,0
181,4PsohxvstXN2aaYCNQrCvm,En Route,"Tourist LeMC, Spiritually Wally",False,49
182,4BHzQ9C00ceJxfG16AlNWb,25,Adele,False,2
183,0eZBeB2xFIS65jQHerispi,Immortalized (Deluxe Edition),Disturbed,False,72
184,0ADG9OgdVTL7fgREP75BrZ,So Good,Zara Larsson,False,70
185,1KqvRRQd3lfM0pAlkGPrgD,Shape of You (feat. Nyla & Kranium) [Major Lazer Remix],"Ed Sheeran, Nyla, Kranium, Major Lazer",False,56
186,3umS4y3uQDkqekNjVpiRUs,Fénix,Nicky Jam,False,70
187,6vSwxzO2Qf4BinHSXRwZJe,x (Wembley Edition),Ed Sheeran,False,55
188,1ID1QFSNNxi0hiZCNcwjUC,If You're Reading This It's Too Late,Drake,True,68
189,4kflIGfjdZJW4ot2ioixTB,21,Adele,False,6
190,4O4xuKdvJvl7HpFlYGwudS,I See You,The xx,False,0
191,6mapJIPnQ23RTAevUoE0DL,SremmLife 2 (Deluxe),Rae Sremmurd,True,77
192,5nA67Y0XX9JipZwYxX7Gl7,This Town,Niall Horan,False,0
193,5Db9VIdDsN5yu3Eu7CT0i4,In The Lonely Hour,Sam Smith,False,0
194,2Vd1vVQaBilW0O6nmU5BkH,Vianney,Vianney,False,0
195,1VdZ0vKfR5jneCmWIUAMxK,+,Ed Sheeran,False,78
196,2q7vWE2hIS1Kj3ShkcKkIS,Hey Baby (Remixes),"Dimitri Vegas & Like Mike, Diplo, Deb’s Daughter, MATTN, Regi",False,0
197,5QdB0HJmTHkPvyJhKfQLM1,Less Is More,"Lost Frequencies, Sandro Cavazza",False,50
198,00vk0sEfb6mr2ehwSw0Uhn,The Wrong Kind Of War,"Imany, Filatov & Karas",False,57
199,3AEZUABDXNtecAOSC1qTfo,Primera Cita,CNCO,False,73
200,7yyRTcZmCiyzzJlNzGC9Ol,Big Baby DRAM,"Shelley FKA DRAM, Lil Yachty",True,65
201,2Ce5IyMlVRVvN997ZJjJJA,HNDRXX,"Future, Rihanna",True,19
202,7zxRMhXxJMQCeDDg0rKAVo,NAV,"NAV, The Weeknd",True,73
203,3mRcWCyteY2133a7xVMrYw,HNDRXX,"Future, The Weeknd",True,28
204,042x9bsUBWW2fJgJ6fUh61,Not Going Home (feat. Gia Koka),"DVBBS, CMC$, Gia Koka",False,33
205,5GFDrUTLGJix84sNhjCG0g,Caroline,Aminé,True,0
206,6kex4EBAj0WHXDKZMEJaaF,Swalla (feat. Nicki Minaj & Ty Dolla $ign),"Jason Derulo, Nicki Minaj, Ty Dolla $ign",True,76
207,0Fv5N0cHBsl4bzCbollCAS,I Decided.,Big Sean,True,63
208,6fwdbPMwP1zVStm8FybmkO,Savage Mode,"21 Savage, Metro Boomin, Future",True,73
209,2jfCy43LsFbCQoB6HyetlY,Let Me Love You (feat. Chris Crone),"SJUR, Chris Crone",False,55
210,0pSBuHjILhNEo55xK1zrRt,Rolex,Ayo & Teo,False,71
211,0v9Wz8o0BT8DU38R4ddjeH,Coloring Book,"Chance the Rapper, Lil Wayne, 2 Chainz",True,70
212,40UroIGvsMPLPBYwH8rMNA,Steady 1234 (feat. Jasmine Thompson & Skizzy Mars),"Vice, Skizzy Mars, Jasmine Thompson",True,0
213,3kxfsdsCpFgN412fpnW85Y,"""Awaken, My Love!""",Childish Gambino,True,2
214,6I6NX6tjGsxFAsIfGzY9lJ,4 Your Eyez Only,J. Cole,True,71
215,5uDASfU19gDxSjW8cnCaBp,Chill Bill (feat. J. Davi$ & Spooks),"Rob $tone, J. Davi$, Spooks",True,77
216,76Y0gxtTxN0FyDCYh5qYQj,Culture,Migos,True,63
217,20dP2DaMHIAmwWAbp7peSr,Birds In The Trap Sing McKnight,"Young Thug, Travis Scott",True,72
218,5KAgd2yW7tktrKDsJhO9Fr,Astoria,Marianas Trench,False,58
219,6p8NuHm8uCGnn2Dtbtf7zE,Culture,"Migos, Gucci Mane",True,71
220,5tFep7dXGd7vEJ668wTPux,The Return of East Atlanta Santa,"Gucci Mane, Drake",True,70
221,2dqLk7ezV15LEJEwUmEbXB,ACT ONE (The Complete Collection),Marian Hill,False,0
222,4gmmRb6bZJffOOiww1JGTO,Savage Mode,"21 Savage, Metro Boomin",True,73
223,4STaHtfguDMkWbPEo6Fwcx,PARTYNEXTDOOR 3 (P3),PARTYNEXTDOOR,False,64
224,07ARBxsDbIdAxLwuRCkGJ4,Utopian,Virginia To Vegas,False,40
225,1MksGqIztTT6M9R1ErKVs8,I Decided.,"Big Sean, Eminem",True,58
226,6gBFPUFcJLzWGx4lenP6h2,Birds In The Trap Sing McKnight,Travis Scott,True,86
227,41xpFBBttwitDVd7rEDc2p,Feels Right (Galloway Remix),"Jocelyn Alice, Galloway",False,38
228,3FiE2d325mIOc4YjkSLVJR,Dangerous Woman,"Ariana Grande, Future",True,0
229,3pndPhlQWjuSoXhcIIdBjv,There's Really A Wolf,Russ,True,73
230,05nbZ1xxVNwUTcGwLbp7CN,NAV,NAV,True,73
231,3IJPE9ICRq5PxVZxdv1sEv,HNDRXX,Future,True,13
232,7q02j5zwOqQOXm21IaPMlY,True Love,DiRTY RADiO,False,31
233,7EiZI6JVHllARrX9PUvAdX,EVOL,"Future, The Weeknd",True,75
234,26hcyzSE154xMZCbFdtInA,Taped Up Heart (feat. Clara Mae),"KREAM, Clara Mae",False,46
235,67dyMPOUsbZ9Yg06PnfAAh,FUTURE,Future,True,9
236,2Ae5awwKvQpTBKQHr1TYCg,Dynamite (feat. Pretty Sister),"Nause, Pretty Sister",False,51
237,152lZdxL1OR0ZMW6KquMif,American Teen,Khalid,False,79
238,3A2waEDfZQfl6RNOn8Y1xW,Trouble,"R3HAB, VÉRITÉ",True,45
239,204U3zjm9kkzX25Pr4Rdld,Culture,"Migos, Travis Scott",True,63
240,62vpWI1CHwFy7tMIcSStl8,2014 Forest Hills Drive,J. Cole,True,86
241,1Tt4sE4pXi57mTD1GCzsqm,ANTI,Rihanna,True,1
242,4h90qkbnW1Qq6pBhoPvwko,Starboy,"The Weeknd, Kendrick Lamar",True,71
243,5J5PXmMdQ2nh1lZOal8KmK,DC4,"Meek Mill, Sound M.O.B., Tory Lanez",True,64
244,0BU7nIcCZxYSE0hYcc5oZz,Lil Big Pac,"Kodak Black, PnB Rock",True,0
245,4ARPvK8DHLwt4oX65ZAFMw,Revenge,XXXTENTACION,True,0
246,6eT7xZZlB2mwyzJ2sUKG6w,Stoney (Deluxe),Post Malone,True,77
247,5qbcsZMwL0x46sX7VO37Ye,NAV,NAV,True,62
248,4mU5iXHeLgbR94siF7p1sY,Starboy,The Weeknd,True,69
249,6E39QsoWB7JjphPF9xCQSN,Outlet,Desiigner,True,57
250,7JYsArznYOjX2jsrT3UEnL,Herstory,Young M.A,True,66
251,4Zxdw0Hno7YDu0IzvY76Qo,FUTURE,Future,True,17
252,4nDfc6F2uVcc6wdG7kBzWO,Fifty Shades Darker (Original Motion Picture Soundtrack),"Nick Jonas, Nicki Minaj",False,0
253,1rBI8NN1afzViJMGgTc2AG,Four Leaf Clover (Klowds Remix),"Christian Hudson, Klowds",False,20
254,2wf9bp4MkChojtljddWpbO,FREE 6LACK,6LACK,True,0
255,6yr8GiTHWvFfi4o6Q5ebdT,The Eminem Show,"Eminem, Nate Dogg",True,0
256,0ESJlaM8CE1jRWaNtwSNj8,Birds In The Trap Sing McKnight,Travis Scott,True,71
257,50PWlIBU7PlGGwzgN8TiFJ,Joanne (Deluxe),Lady Gaga,False,0
258,2Bli1Wbi5mRa1BcVJaZ1m4,NAV,NAV,True,51
259,1wZqJM5FGDEl3FjHDxDyQd,PARTYNEXTDOOR 3 (P3),"PARTYNEXTDOOR, Drake",True,74
260,0dKDwt7DP0uH4XyGaVMtVP,Fire In My Soul,Walk Off the Earth,False,47
261,0OPfZM09RUjE46nIeJGCfX,NAV,NAV,True,54
262,0B8QzDH7YWih85V5SEMnyJ,Lil Uzi Vert vs. The World,Lil Uzi Vert,True,76
263,2h3i5tGUl6hMu572umjcGo,Shine,"Wale, Lil Wayne",True,54
264,2nBI3iWLhupR7LyAJ5GGkE,Champions,"Kanye West, Gucci Mane, Big Sean, 2 Chainz, Travis Scott, Yo Gotti, Quavo, Desiigner",True,69
265,3OoZagIW3YK8vjt0ws6NOI,Grateful,"DJ Khaled, Beyoncé, JAY-Z",True,56
266,11HOTp4KdeOwmn7Ew0GSIs,NAV,NAV,True,56
267,5lFDtgWsjRJu8fPOAyJIAK,Back To Back,Drake,True,68
268,2KpCpk6HjXXLb7nnXoXA5O,Top Five (Music From And Inspired By The Motion Picture),"JAY-Z, Kanye West",True,58
269,7yq4Qj7cqayVTp3FF9CWbm,Dream Your Life Away,Vance Joy,False,82
270,3pXF1nA74528Edde4of9CC,T R A P S O U L,Bryson Tiller,True,80
271,7bTwYGhBdSQ8vuXc76Xint,Cleopatra,The Lumineers,False,0
272,6WhzFzROw3aq3rPWjgYlxr,Gold,Kiiara,False,58
273,39pS70eeDvyCAF3t8NAlVV,Pretty Girls Like Trap Music,"2 Chainz, Gucci Mane, Quavo",True,61
274,5yuShbu70mtHXY0yLzCQLQ,Stoney (Deluxe),Post Malone,True,78
275,7yHEDfrJNd0zWOfXwydNH0,Dangerous Woman,Ariana Grande,False,0
276,6mb6lVLNrcUgLnEN8QnDJd,Moana (Original Motion Picture Soundtrack/Deluxe Edition),Auli'i Cravalho,False,73
277,498ZVInMGDkmmNVpSWqHiZ,Dig Your Roots,"Florida Georgia Line, Tim McGraw",False,69
278,5qdaaB2RYHohGB1vglLuAf,HNDRXX,Future,True,8
279,2ANLarE8yHVsLWW21nj79M,Lil Uzi Vert vs. The World,Lil Uzi Vert,True,71
280,2KlDzyTJVmOlH1sVTuPcSF,Make Love,"Gucci Mane, Nicki Minaj",True,45
281,0kN8xEmgMW9mh7UmDYHlJP,24K Magic,Bruno Mars,False,75
282,3l5etN0PooxQ28Ac1pREpX,Utro,Gulddreng,False,38
283,3cJ0Fyr8C8blcaAZTYRLMN,Jeg Har En Pige,Skinz,False,0
284,5EqFKibwuIStKtAW5y8MQt,Don Diego,Sleiman,True,40
285,3SD2PJyQDG5H9Yz95feORS,Gertrud,Gigis,False,36
286,4Jg4Qp4byYVpJ5m5NpiLa9,God Dag,KESI,False,47
287,68jslccsnowy0J8PlGLRNj,Emoji,Albert Dyrlund,False,42
288,6AKPNSWJlVFN5YZkY0ZmaW,Dum Som Mig,Citybois,True,38
